,1,2,3,4,5,E,SD,
Results on top all,0.0030569853013018176,0.002936394601979439,0.0028582483065938266,0.00285048275904153,0.0029231979193434098,0.005450265576810955,5.756400190930632E-5,
Results on top on cluster,0.0054464519507724535,0.005476375932691653,0.005544625009908123,0.005382889170606389,0.005400985820076156,0.002925061777652004,7.424525964528138E-5,
